"community,price,area,layout,site,total_height,toward,built_year"
"中海寰宇天下,279,86.0,3室2厅,中,22.0,南,2020-01-01"
"华发四季峰景,230,89.0,3室2厅,高,32.0,南北,2020-01-01"
"恒荣城市溪谷,298,118.0,4室2厅,低,37.0,南北,2019-01-01"
"正方南湾首府,235,99.0,4室2厅,中,32.0,南北,2013-01-01"
"中安广场,97,61.0,1室2厅,中,26.0,南,2019-01-01"
"双瑞藏龙湾花园,290,110.0,3室2厅,低,47.0,北,2021-01-01"
"双瑞藏珑湾,279,108.0,4室2厅,底,6.0,南,2006-01-01"
"双瑞藏龙湾花园,230,95.0,3室2厅,低,32.0,南,2019-01-01"
"正方南湾首府,170,76.0,3室2厅,底,32.0,南北,2018-01-01"
"中海寰宇天下,275,86.0,3室2厅,中,31.0,南北,2020-01-01"
"中海寰宇天下,339,105.0,3室2厅,低,22.0,东南,2020-01-01"
"绿景玺悦湾,380,123.0,3室2厅,低,19.0,南,2021-01-01"
"双瑞藏龙湾花园,270,110.0,3室2厅,低,47.0,北,2021-01-01"
"绿景玺悦湾,517,165.0,4室2厅,中,30.0,南北,2021-01-01"
"绿景玺悦湾,900,258.0,5室2厅,低,32.0,南,2021-01-01"
"正方南湾首府,460,169.0,4室2厅,低,32.0,南北,2018-01-01"
"正方南湾首府,185,85.0,3室2厅,底,32.0,南北,2013-01-01"
"双瑞藏龙湾花园,252,95.0,3室2厅,低,45.0,东北,2019-01-01"
"正方南湾首府,245,99.0,4室2厅,低,32.0,南北,2013-01-01"
"恒荣城市溪谷,245,98.0,3室2厅,低,37.0,南北,2018-01-01"
"中安广场,96,61.0,1室1厅,中,26.0,北,2020-01-01"
"双瑞藏龙湾花园,498,143.18,4室2厅,低,45.0,南北,2019-01-01"
"都会四季,209,99.0,4室2厅,低,28.0,南北,2016-01-01"
"钰海帝景,950,264.3,4室2厅,低,30.0,南北,2012-01-01"
"双瑞藏龙湾花园,345,108.0,4室2厅,中,47.0,南,2020-01-01"
"中海寰宇天下,450,129.0,4室2厅,中,22.0,南北,2021-01-01"
"绿景玺悦湾,360,120.0,3室2厅,中,31.0,南,2021-01-01"
"绿景喜悦荟,100,45.0,1室1厅,高,25.0,南,2021-01-01"
"中安广场,99,61.0,1室1厅,中,26.0,北,2020-01-01"
"绿景喜悦荟,97,45.0,1室1厅,中,32.0,东南,2019-01-01"
"鹏瑞·珠澳湾中心,109,44.0,1室1厅,低,49.0,南,2022-01-01"
"恒荣城市溪谷,315,118.0,4室2厅,低,37.0,南北,2018-01-01"
