Community_Name,price,area,layout,site,total_height,toward,built_year,age,price_per_sqm
中海寰宇天下,279.0,86.0,302,2,22.0,2,2020,4,3.244186046511628
华发四季峰景,230.0,89.0,302,3,32.0,9,2020,4,2.5842696629213484
恒荣城市溪谷,298.0,118.0,402,1,37.0,9,2019,5,2.5254237288135593
正方南湾首府,235.0,99.0,402,2,32.0,9,2013,11,2.3737373737373737
中安广场,97.0,61.0,102,2,26.0,2,2019,5,1.5901639344262295
双瑞藏龙湾花园,290.0,110.0,302,1,47.0,4,2021,3,2.6363636363636362
双瑞藏珑湾,279.0,108.0,402,0,6.0,2,2006,18,2.5833333333333335
双瑞藏龙湾花园,230.0,95.0,302,1,32.0,2,2019,5,2.4210526315789473
正方南湾首府,170.0,76.0,302,0,32.0,9,2018,6,2.236842105263158
中海寰宇天下,275.0,86.0,302,2,31.0,9,2020,4,3.197674418604651
中海寰宇天下,339.0,105.0,302,1,22.0,5,2020,4,3.2285714285714286
绿景玺悦湾,380.0,123.0,302,1,19.0,2,2021,3,3.089430894308943
双瑞藏龙湾花园,270.0,110.0,302,1,47.0,4,2021,3,2.4545454545454546
绿景玺悦湾,517.0,165.0,402,2,30.0,9,2021,3,3.1333333333333333
绿景玺悦湾,900.0,258.0,502,1,32.0,2,2021,3,3.488372093023256
正方南湾首府,460.0,169.0,402,1,32.0,9,2018,6,2.7218934911242605
正方南湾首府,185.0,85.0,302,0,32.0,9,2013,11,2.176470588235294
双瑞藏龙湾花园,252.0,95.0,302,1,45.0,7,2019,5,2.6526315789473682
正方南湾首府,245.0,99.0,402,1,32.0,9,2013,11,2.474747474747475
恒荣城市溪谷,245.0,98.0,302,1,37.0,9,2018,6,2.5
中安广场,96.0,61.0,101,2,26.0,4,2020,4,1.5737704918032787
双瑞藏龙湾花园,498.0,143.18,402,1,45.0,9,2019,5,3.4781394049448244
都会四季,209.0,99.0,402,1,28.0,9,2016,8,2.111111111111111
钰海帝景,950.0,264.3,402,1,30.0,9,2012,12,3.594400302686341
双瑞藏龙湾花园,345.0,108.0,402,2,47.0,2,2020,4,3.1944444444444446
中海寰宇天下,450.0,129.0,402,2,22.0,9,2021,3,3.488372093023256
绿景玺悦湾,360.0,120.0,302,2,31.0,2,2021,3,3.0
绿景喜悦荟,100.0,45.0,101,3,25.0,2,2021,3,2.2222222222222223
中安广场,99.0,61.0,101,2,26.0,4,2020,4,1.6229508196721312
绿景喜悦荟,97.0,45.0,101,2,32.0,5,2019,5,2.1555555555555554
鹏瑞·珠澳湾中心,109.0,44.0,101,1,49.0,2,2022,2,2.477272727272727
恒荣城市溪谷,315.0,118.0,402,1,37.0,9,2018,6,2.669491525423729
双瑞藏龙湾花园,240.0,95.0,302,1,47.0,4,2021,3,2.526315789473684
正方深悦湾花园,220.0,99.0,402,2,12.0,2,2021,3,2.2222222222222223
